Rank,agent_name,faction,ap,lifetime_ap,explorer,discoverer,seer,collector,recon,hacker,builder,connector,mind-controller,illuminator,binder,country-master,recharger,liberator,pioneer,purifier,neutralizer,disruptor,salvator,trekker,guardian,smuggler,link-master,controller,field-master,specops,engineer,sojourner,recruiter,translator,overclocker,missionday,nl-1331-meetups,recursions,prime_challenge,stealth_ops,urban_ops,opr_live,ocf,intel_ops,ifs,scout,drone_explorer,drone_distance,maverick,drone_recalls,drone_sender,second_sunday,operation_chronos,cryptic_memories_op,scout_controller,bb_combatant,red-disruptor,red-purifier,red-neutralizer,reclaimer,research_bounties,research_days,crafter,epoch,level,last_submit
1,Like300Wombats,res,1091919946,1091919946,125564,58,2,3945868533,14351,529645,913216,222620,165963,358069942,207,99937,2617713432,265277,96041,1308720,198481,203235,79733,22779,1563,821,5943,676,2840196,15000,174122,3497,0,1675980,0,80,50,0,0,0,0,2,2,1,69,8889,3176,32,24633,23,395,32,0,0,12000,835,50748,427529,53350,52617,956,239,3760,180,16,2024-09-30 10:51:23
2,Zorig,res,437349771,1275917171,52213,422,156,2743647500,20955,720243,1531755,358761,201443,8015818,423,1865155,1160426254,222933,35248,1186794,216683,221490,117560,29038,1076,1060,25362,1059,1243910,1050,201577,2714,3,2307886,721,20,9,6,1,0,0,3,0,0,50,6059,860,17,10726,59,198,10,0,0,3151,127,1769,14697,1707,1080,572,137,2032,165,16,2024-07-01 16:27:05
3,RedCorsair,res,380465550,540465550,124223,616,10,3638432027,16376,348331,505766,78503,49941,1530917934,2669,4410982,2633199780,96050,68579,372355,67193,63373,30748,17461,1412,1438,15979,516,655797,4604,104326,1830,0,882449,1190,22,7,1,0,0,0,3,1,1,36,8806,2438,28,10104,34,264,14,0,0,8165,228,6076,50780,6139,5627,974,240,2356,179,16,2024-10-02 12:39:29
4,Taxikiller,enl,360108253,1368180830,40494,65,0,3091227473,982,716958,901389,213632,234049,2449152345,1681,7806382,1664629190,341919,35053,1164753,170495,206175,104090,21808,820,589,49395,216,17717198,534,135866,821,2,477111,3,12,2,5,0,0,0,0,0,0,36,7072,288,13,1093,17,286,28,0,0,7681,95,42898,364750,42032,23351,866,200,2230,175,16,2024-09-17 21:06:45
5,arealrarewhale,res,346986550,346986550,47179,6,5,828551820,0,185857,454585,76106,50745,21116356,3659,1916718,259745522,108805,44456,485011,86363,81444,37566,13591,816,186,55996,96,3286186,3,53881,360,0,459893,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,1099,9428,1115,1271,2,0,0,16,16,2024-08-22 19:48:17
6,ExBruteSquad,res,253027167,253027167,31424,1284,0,1429838345,5341,158360,202055,35775,24539,164004066,489,3065762,733226912,42596,24516,452340,62568,118767,64205,5870,948,195,40285,195,1089564,553,52801,239,3,772038,0,3,4,0,0,0,0,1,0,0,0,0,57,1,4635,13,240,0,0,0,0,1,125,1141,145,0,0,0,241,27,16,2022-12-02 02:56:31
7,fRueD,res,250777004,950777004,89291,373,15,2842712016,7721,715522,1174330,164511,116656,22508233,142,1858729,1348722444,185775,60268,873098,152601,160287,87554,23549,760,375,1648,188,88507,4884,186743,1258,0,1387241,389,41,9,7,0,0,0,1,0,0,57,6706,10000,27,17546,409,473,12,0,0,6872,738,6046,50399,6085,4265,946,235,3110,179,16,2024-09-30 20:58:56
8,PhastPhlash,res,190934092,499759125,52666,81,0,1439509880,7685,230331,351531,53497,53125,789764608,1938,9261729,966681457,71637,37783,252592,41673,49327,26218,11239,2381,313,1904,277,900483,6870,63246,762,1,449020,1926,17,10,4,0,0,0,0,1,1,64,798,1625,55,13819,26,197,32,0,0,372,275,3893,31121,3859,3873,826,152,1493,76,16,2024-10-01 23:27:11
9,40079,enl,181024178,681024178,76538,436,0,2711219777,3914,343053,590309,129041,89536,15629152,451,353881,2093575020,115317,60602,415138,78785,70071,32792,22855,2523,1204,10194,1064,524345,6824,104554,1642,0,1349107,12666,22,7,6,0,0,0,1,1,0,59,13157,133,1,15454,6,173,28,0,0,12019,595,10404,83782,10196,7021,921,220,3336,168,16,2024-10-02 15:23:37
10,TrinityPrincess,enl,140569484,298404341,80159,60,3,1298662210,460,378759,421780,47950,19768,10954985,2605,1072962,708665720,96538,47642,412852,82294,67573,33802,13645,810,154,1112,109,188997,17432,68756,360,7,176762,0,40,8,1,0,1,0,0,1,0,56,48,261,30,802,27,74,20,0,0,47,192,3049,27335,3300,3032,585,80,382,47,16,2024-09-28 21:22:56
